RideID;RideAddressID;Coordenadas Inicio;Coordenadas Fim;Distancia_km;Duracao_min;ProductID;Price;ProductID_normalizado;CategoriaFinal
1183205;2334287;-22.8735015,-43.5714019;-22.9173726,-43.6330438;11.91;25.9;Black;41.0;black;Black
1183206;2334289;-23.5542807,-46.662731799999996;-23.7342905,-46.6986279;27.59;45.57;Black;125.0;black;Black
1183206;2334289;-23.5542807,-46.662731799999996;-23.7342905,-46.6986279;27.59;45.57;Black Bag;149.0;black bag;Black
1183219;2334315;-23.5542807,-46.662731799999996;-23.7342905,-46.6986279;27.59;45.57;Black;107.5;black;Black
1183219;2334315;-23.5542807,-46.662731799999996;-23.7342905,-46.6986279;27.59;45.57;Black Bag;129.0;black bag;Black
1183221;2334319;-23.708786,-46.5267639;-23.7047254,-46.6175221;11.05;27.22;Black;48.0;black;Black
1183223;2334323;-16.0386142,-48.0188949;-16.068436,-47.9852555;10.2;16.92;Black;35.0;black;Black
1183224;2334325;-22.7786199,-43.3193931;-22.7923134,-43.3;3.52;9.95;Black;16.5;black;Black
1183225;2334327;-23.7088701,-46.526664;-23.7047254,-46.6175221;11.38;26.87;Black;47.0;black;Black
1183225;2334327;-23.7088701,-46.526664;-23.7047254,-46.6175221;11.38;26.87;Black Bag;58.0;black bag;Black
1183226;2334329;-16.0386142,-48.0188949;-16.068436,-47.9852555;10.2;16.92;Black;35.0;black;Black
1183228;2334333;-29.889357200000003,-51.1300939;-29.8298392,-51.16006849999999;12.85;17.22;Black;44.5;black;Black
1183230;2334337;-30.0722105,-51.222451299999996;-30.1216167,-51.22001179999999;7.7;18.02;Black;37.0;black;Black
1183232;2334341;-30.0722105,-51.222451299999996;-30.1216167,-51.22001179999999;7.7;18.02;Black;37.0;black;Black
1183233;2334343;-22.8343556,-43.4127084;-22.9973007,-43.3625245;29.92;38.82;Black;97.5;black;Black
1183235;2334347;-23.501896799999997,-46.3913987;-23.537527,-46.2953758;13.61;31.05;Black;51.5;black;Black
1183239;2334355;-23.501951599999998,-46.3914371;-23.537527,-46.2953758;14.14;30.95;Black;51.5;black;Black
1183247;2334371;-23.501597,-46.446407;-23.5627779,-46.5915855;20.2;43.43;Black;91.5;black;Black
1183247;2334371;-23.501597,-46.446407;-23.5627779,-46.5915855;20.2;43.43;Black Bag;110.0;black bag;Black
1183250;2334377;-22.689376,-43.254498999999996;-22.7769786,-43.3614014;26.31;30.22;Black;82.0;black;Black
1183252;2334381;-15.8157808,-48.0908627;-15.8212119,-48.0615551;5.69;13.72;Black;23.5;black;Black
1183253;2334383;-22.8818491,-43.07927249999999;-22.8206436,-42.99990640000001;12.22;15.05;Black;39.5;black;Black
1183254;2334385;-15.8157808,-48.0908627;-15.8212119,-48.0615551;5.69;13.72;Black;23.5;black;Black
1183257;2334391;-23.486895,-46.6479623;-23.5042667,-46.6877784;6.89;15.42;Black;27.5;black;Black
1183260;2334397;-22.8729709,-43.450041299999995;-22.8858806,-43.4757166;3.98;11.88;Black;17.0;black;Black
1183270;2334417;-22.810214,-43.403851499999995;-22.9221399,-43.2493486;27.49;49.57;Black;104.0;black;Black
1183272;2334421;-23.4473108,-46.5833731;-23.5701663,-46.4468751;34.47;44.68;Black;118.0;black;Black
1183277;2334431;-19.9690694,-43.973675;-19.9847608,-43.8465256;19.46;32.45;Black;70.0;black;Black
1183280;2334437;-22.728721,-43.447175;-22.8371489,-43.2738342;25.55;30.02;Black;84.0;black;Black
1183281;2334439;-23.4473512,-46.583365699999995;-23.5701663,-46.4468751;34.47;44.67;Black;118.5;black;Black
1183287;2334451;-29.717003599999998,-51.1583434;-29.7301916,-51.1472268;3.06;7.0;Black;17.5;black;Black
1183288;2334453;-19.9690932,-43.9737894;-19.9847608,-43.8465256;19.45;32.43;Black;70.0;black;Black
1183294;2334465;-29.9277561,-51.0127844;-29.9355365,-51.04117609999999;3.81;8.1;Black;20.0;black;Black
1183296;2334469;-22.729125,-43.446141;-22.8371489,-43.2738342;25.38;29.62;Black;83.0;black;Black
1183297;2334471;-19.953658,-43.964077;-19.9589853,-43.9873273;4.33;15.03;Black;20.0;black;Black
1183298;2334473;-22.810214,-43.403851499999995;-22.9221399,-43.2493486;27.49;49.57;Black;104.0;black;Black
1183300;2334477;-22.8343556,-43.4127084;-22.9973007,-43.3625245;29.92;38.82;Black;98.0;black;Black
1183304;2334485;-23.6791749,-46.669339699999995;-23.59719999999999,-46.7814184;22.16;46.33;Black;89.0;black;Black
1183306;2334489;-22.810214,-43.403851499999995;-22.9221399,-43.2493486;27.49;49.57;Black;104.0;black;Black
1183307;2334491;-23.7764283,-46.6948362;-23.6793193,-46.6750793;15.47;36.1;Black;60.0;black;Black
1183312;2334501;-23.6754917,-46.6526757;-23.4753983,-46.77725979999999;34.69;48.12;Black;118.0;black;Black
1183313;2334503;-19.8867255,-44.03543299999999;-19.8743038,-44.0173988;2.68;6.22;Black;17.0;black;Black
1183316;2334509;-23.484748,-46.5666986;-23.522013,-46.601571;8.54;11.88;Black;32.5;black;Black
1183316;2334509;-23.484748,-46.5666986;-23.522013,-46.601571;8.54;11.88;Black Bag;39.0;black bag;Black
1183323;2334523;-22.8475702,-43.351245899999995;-22.8770189,-43.26768149999999;13.09;25.73;Black;40.0;black;Black
1183324;2334525;-22.8475702,-43.351245899999995;-22.8770189,-43.26768149999999;11.66;23.53;Black;40.0;black;Black
1183325;2334527;-22.729125,-43.446141;-22.8371489,-43.2738342;25.38;29.62;Black;83.0;black;Black
1183329;2334535;-22.85081330000001,-43.37127659999999;-22.7932554,-43.3006377;14.54;17.68;Black;49.0;black;Black
1183331;2334539;-19.8679725,-43.931162099999995;-19.8587158,-43.9350694;3.06;8.23;Black;13.0;black;Black
1183334;2334545;-23.6085574,-46.72526329999999;-23.5446922,-46.7009853;10.88;24.47;Black;39.0;black;Black
1183343;2334563;-22.873191,-43.291830600000004;-22.9474645,-43.1827333;18.72;31.45;Black;63.0;black;Black
1183345;2334567;-23.5225179,-46.5212073;-23.5224,-46.5316;1.23;4.13;Black;11.5;black;Black
1183345;2334567;-23.5225179,-46.5212073;-23.5224,-46.5316;1.23;4.13;Black Bag;14.5;black bag;Black
1183347;2334571;-22.7832522,-43.3910957;-22.75821,-43.43202;8.15;14.03;Black;26.0;black;Black
1183348;2334573;-23.5225179,-46.5212073;-23.5224,-46.5316;1.23;4.13;Black;11.5;black;Black
1183348;2334573;-23.5225179,-46.5212073;-23.5224,-46.5316;1.23;4.13;Black Bag;14.5;black bag;Black
1183349;2334575;-23.6085574,-46.72526329999999;-23.5446922,-46.7009853;10.88;24.47;Black;38.5;black;Black
1183356;2334589;-23.6085574,-46.72526329999999;-23.5446922,-46.7009853;10.88;24.47;Black;38.5;black;Black
1183361;2334599;-22.873191,-43.291830600000004;-22.9450514,-43.1857261;20.35;27.72;Black;63.0;black;Black
1183364;2334605;-19.8609094,-44.0262757;-19.9052705,-43.9445242;14.34;25.3;Black;50.0;black;Black
1183367;2334611;-15.8923504,-48.1058765;-15.7933031,-47.9446732;27.71;31.48;Black;82.0;black;Black
1183368;2334613;-22.7832606,-43.3910694;-22.75821,-43.43202;8.15;14.03;Black;26.0;black;Black
1183371;2334619;-23.671848999999998,-46.553676599999996;-23.7229206,-46.5470949;12.51;18.73;Black;30.5;black;Black
1183374;2334625;-19.8609094,-44.0262757;-19.9052705,-43.9445242;14.34;25.3;Black;50.0;black;Black
1183375;2334627;-22.7832606,-43.3910694;-22.75821,-43.43202;8.15;14.03;Black;26.0;black;Black
1183379;2334635;-22.7832606,-43.3910694;-22.75821,-43.43202;8.15;14.03;Black;26.0;black;Black
1183381;2334639;-23.511671,-46.7635643;-23.4753983,-46.77725979999999;8.55;16.15;Black;29.5;black;Black
1183381;2334639;-23.511671,-46.7635643;-23.4753983,-46.77725979999999;8.55;16.15;Black Bag;36.5;black bag;Black
1183385;2334647;-22.7832606,-43.3910694;-22.75821,-43.43202;8.15;14.03;Black;26.0;black;Black
1183386;2334649;-23.511671,-46.7635643;-23.4753983,-46.77725979999999;8.55;16.15;Black;29.5;black;Black
1183386;2334649;-23.511671,-46.7635643;-23.4753983,-46.77725979999999;8.55;16.15;Black Bag;36.5;black bag;Black
1183389;2334655;-19.911040000000003,-43.9683;-19.9399357,-43.9633408;5.39;13.53;Black;29.0;black;Black
1183394;2334665;-22.8705993,-43.4418015;-22.8763606,-43.37126019999999;9.6;19.43;Black;35.0;black;Black
1183395;2334667;-22.8143459,-43.413769699999996;-22.9050926,-43.55839270000001;28.54;40.5;Black;88.0;black;Black
1183397;2334671;-23.5649178,-46.7444943;-23.506699,-46.8750476;19.16;32.92;Black;79.5;black;Black
1183397;2334671;-23.5649178,-46.7444943;-23.506699,-46.8750476;19.16;32.92;Black Bag;93.5;black bag;Black
1183404;2334685;-19.911267199999998,-43.968071099999996;-19.9399357,-43.9633408;5.64;13.5;Black;24.0;black;Black
1183405;2334687;-22.8709787,-43.4412802;-22.8763606,-43.37126019999999;9.6;19.65;Black;35.0;black;Black
1183406;2334689;-23.4863461,-46.7437172;-23.5424716,-46.6600963;14.97;34.73;Black;59.0;black;Black
1183406;2334689;-23.4863461,-46.7437172;-23.5424716,-46.6600963;14.97;34.73;Black Bag;71.5;black bag;Black
1183407;2334691;-19.861585200000004,-44.0266054;-19.9052705,-43.9445242;14.5;26.17;Black;50.5;black;Black
1183409;2334695;-22.873191,-43.291830600000004;-22.9450514,-43.1857261;18.89;32.03;Black;63.0;black;Black
1183411;2334699;-19.861585200000004,-44.0266054;-19.9052705,-43.9445242;14.5;26.17;Black;50.5;black;Black
1183412;2334701;-15.839681599999999,-48.1245099;-15.9038901,-48.0664782;15.73;21.83;Black;50.0;black;Black
1183413;2334703;-22.8502886,-43.5269978;-22.88197289999999,-43.3389099;24.47;31.72;Black;77.0;black;Black
1183416;2334709;-15.839681599999999,-48.1245099;-15.9038901,-48.0664782;15.73;21.83;Black;50.0;black;Black
1183417;2334711;-22.8502886,-43.5269978;-22.88197289999999,-43.3389099;24.47;31.72;Black;77.0;black;Black
1183420;2334717;-22.7832606,-43.3910694;-22.75821,-43.43202;8.15;14.03;Black;28.5;black;Black
1183421;2334719;-23.4623709,-46.4045054;-23.5964886,-46.4554845;21.79;33.43;Black;72.0;black;Black
1183421;2334719;-23.4623709,-46.4045054;-23.5964886,-46.4554845;21.79;33.43;Black Bag;87.0;black bag;Black
1183422;2334721;-15.8494723,-47.9507276;-15.8341486,-47.95058450000001;2.97;7.55;Black;14.5;black;Black
1183423;2334723;-23.4924222,-46.4113068;-23.5004455,-46.3990524;4.46;13.03;Black;17.5;black;Black
1183423;2334723;-23.4924222,-46.4113068;-23.5004455,-46.3990524;4.46;13.03;Black Bag;21.0;black bag;Black
1183424;2334725;-23.4913836,-46.79147100000001;-23.4906435,-46.79877519999999;0.93;3.45;Black;10.5;black;Black
1183431;2334738;-15.8930131,-48.1043079;-15.7933031,-47.9446732;27.5;29.62;Black;80.0;black;Black
1183432;2334741;-15.8243798,-48.0895708;-15.8090829,-48.0891494;3.0;7.77;Black;12.5;black;Black
1183436;2334749;-19.8609431,-44.0263333;-19.9052705,-43.9445242;14.34;25.3;Black;50.5;black;Black
1183437;2334751;-22.873191,-43.291830600000004;-22.9450514,-43.1857261;18.89;32.03;Black;63.0;black;Black
1183439;2334755;-19.9833552,-44.0078665;-19.929751,-43.9799508;9.9;17.4;Black;35.5;black;Black
1183440;2334757;-23.6757863,-46.6520862;-23.6018661,-46.6934032;11.61;25.92;Black;46.0;black;Black
1183440;2334757;-23.6757863,-46.6520862;-23.6018661,-46.6934032;11.61;25.92;Black Bag;56.0;black bag;Black
1183444;2334765;-23.6754917,-46.6526757;-23.6018661,-46.6934032;11.45;25.33;Black;46.0;black;Black
1183444;2334765;-23.6754917,-46.6526757;-23.6018661,-46.6934032;11.45;25.33;Black Bag;56.0;black bag;Black
1183445;2334767;-19.9833552,-44.0078665;-19.929751,-43.9799508;9.9;17.4;Black;35.5;black;Black
1183451;2334779;-19.8609431,-44.0263333;-19.9052705,-43.9445242;14.34;25.3;Black;50.5;black;Black
1183453;2334783;-22.794392,-43.4298412;-23.0094715,-43.3059992;40.07;55.82;Black;129.0;black;Black
1183454;2334785;-22.7835212,-43.3921401;-22.7619037,-43.4273414;8.3;14.47;Black;24.0;black;Black
1183455;2334787;-23.4623709,-46.4045054;-23.5964886,-46.4554845;21.79;33.43;Black;72.0;black;Black
1183455;2334787;-23.4623709,-46.4045054;-23.5964886,-46.4554845;21.79;33.43;Black Bag;87.0;black bag;Black
1183456;2334789;-19.8609431,-44.0263333;-19.9052705,-43.9445242;14.34;25.3;Black;50.5;black;Black
1183458;2334793;-22.794361499999997,-43.4298636;-23.0094715,-43.3059992;40.07;55.82;Black;129.0;black;Black
1183465;2334807;-23.6027889,-46.53947950000001;-23.6282033,-46.5673083;5.71;14.8;Black;25.5;black;Black
1183465;2334807;-23.6027889,-46.53947950000001;-23.6282033,-46.5673083;5.71;14.8;Black Bag;31.5;black bag;Black
1183469;2334815;-23.6027682,-46.5393652;-23.6282033,-46.5673083;5.72;14.83;Black;25.5;black;Black
1183469;2334815;-23.6027682,-46.5393652;-23.6282033,-46.5673083;5.72;14.83;Black Bag;31.5;black bag;Black
1183471;2334819;-15.8930131,-48.1043079;-15.7933031,-47.9446732;27.5;29.62;Black;80.0;black;Black
1183475;2334827;-22.822388,-43.29419710000001;-22.8355571,-43.2636396;4.33;8.92;Black;19.0;black;Black
1183476;2334829;-23.4863629,-46.8060903;-23.485752,-46.8060085;0.06;0.15;Black;10.5;black;Black
1183476;2334829;-23.4863629,-46.8060903;-23.485752,-46.8060085;0.06;0.15;Black Bag;14.5;black bag;Black
1183477;2334831;-20.006313,-44.015287;-19.9851247,-44.0087181;3.04;8.17;Black;18.0;black;Black
