RideID;RideAddressID;Coordenadas Inicio;Coordenadas Fim;Distancia_km;Duracao_min;ProductID;Price;ProductID_normalizado;CategoriaFinal
1183200;2334277;-26.329754299999998,-48.840427999999996;-26.2554657,-48.6434197;42.19;57.78;Comfort;116.5;comfort;Comfort
1183201;2334279;-27.4919788,-48.528287999999996;-27.4371486,-48.39824309999999;19.12;23.4;Comfort;33.5;comfort;Comfort
1183202;2334281;-19.8495799,-44.019915999999995;-19.936899,-43.9401603;16.68;34.83;Comfort;44.0;comfort;Comfort
1183203;2334283;-23.9624233,-46.25465759999999;-23.8373074,-46.1321725;33.89;34.37;Comfort;68.5;comfort;Comfort
1183204;2334285;-10.9198019,-37.077441799999995;-10.9071288,-37.0877194;3.23;7.88;Comfort;9.5;comfort;Comfort
1183205;2334287;-22.8735015,-43.5714019;-22.9173726,-43.6330438;11.91;25.9;Comfort;30.5;comfort;Comfort
1183206;2334289;-23.5542807,-46.662731799999996;-23.7342905,-46.6986279;27.59;45.57;Comfort;71.5;comfort;Comfort
1183206;2334289;-23.5542807,-46.662731799999996;-23.7342905,-46.6986279;27.59;45.57;Bag;59.0;bag;Comfort
1183207;2334291;-23.9624233,-46.25465759999999;-23.8373074,-46.1321725;33.89;34.37;Comfort;68.5;comfort;Comfort
1183208;2334293;-19.8495393,-44.0199286;-19.936899,-43.9401603;16.68;34.83;Comfort;44.0;comfort;Comfort
1183209;2334295;-8.025770999999999,-34.874474899999996;-8.0296839,-34.9440369;11.08;22.08;Comfort;25.0;comfort;Comfort
1183210;2334297;-24.1270621,-46.699635099999995;-24.004227,-46.42962279999999;33.04;32.85;Comfort;67.0;comfort;Comfort
1183211;2334299;-23.743931699999997,-46.6083953;-23.6896422,-46.59155519999999;14.63;20.18;Comfort;40.0;comfort;Comfort
1183212;2334301;-5.9310541,-35.2637632;-5.9373051,-35.2657882;2.89;5.43;Comfort;13.0;comfort;Comfort
1183213;2334303;-23.9624233,-46.25465759999999;-23.8373074,-46.1321725;33.89;34.37;Comfort;68.5;comfort;Comfort
1183214;2334305;-20.559277599999998,-54.6231586;-20.4786441,-54.6261535;13.22;27.87;Comfort;38.0;comfort;Comfort
1183215;2334307;-5.9310541,-35.2637632;-5.9373051,-35.2657882;2.89;5.43;Comfort;11.5;comfort;Comfort
1183218;2334313;-23.59405,-46.419408;-23.5745135,-46.57126290000001;18.79;44.25;Bag;57.0;bag;Comfort
1183219;2334315;-23.5542807,-46.662731799999996;-23.7342905,-46.6986279;27.59;45.57;Comfort;72.0;comfort;Comfort
1183219;2334315;-23.5542807,-46.662731799999996;-23.7342905,-46.6986279;27.59;45.57;Bag;59.0;bag;Comfort
1183220;2334317;-23.2233606,-45.8939987;-23.1712453,-45.8920635;11.09;16.17;Comfort;17.5;comfort;Comfort
1183221;2334319;-23.708786,-46.5267639;-23.7047254,-46.6175221;11.05;27.22;Comfort;74.5;comfort;Comfort
1183221;2334319;-23.708786,-46.5267639;-23.7047254,-46.6175221;11.05;27.22;Bag;69.5;bag;Comfort
1183222;2334321;-19.793302999999998,-43.924078;-19.7657566,-43.8497696;12.57;21.48;Comfort;32.5;comfort;Comfort
1183223;2334323;-16.0386142,-48.0188949;-16.068436,-47.9852555;10.2;16.92;Comfort;22.0;comfort;Comfort
1183223;2334323;-16.0386142,-48.0188949;-16.068436,-47.9852555;10.2;16.92;Bag;26.0;bag;Comfort
1183224;2334325;-22.7786199,-43.3193931;-22.7923134,-43.3;3.52;9.95;Comfort;13.5;comfort;Comfort
1183225;2334327;-23.7088701,-46.526664;-23.7047254,-46.6175221;11.38;26.87;Comfort;73.5;comfort;Comfort
1183225;2334327;-23.7088701,-46.526664;-23.7047254,-46.6175221;11.38;26.87;Bag;68.0;bag;Comfort
1183226;2334329;-16.0386142,-48.0188949;-16.068436,-47.9852555;10.2;16.92;Comfort;22.0;comfort;Comfort
1183226;2334329;-16.0386142,-48.0188949;-16.068436,-47.9852555;10.2;16.92;Bag;26.0;bag;Comfort
1183227;2334331;-27.5662235,-48.646700499999994;-27.503227,-48.6503876;10.46;15.67;Comfort;23.0;comfort;Comfort
